dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,random_forest,44,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,1.0
report_only,random_forest,45,0.5555555555555556,0.5357142857142857,0.5,0.5925925925925926,0.525,0.5357142857142857,0.5,0.5714285714285714,0.5714285714285714
report_only,random_forest,46,0.6,0.5625,0.5238095238095238,0.6380952380952382,0.5416666666666667,0.5625,0.5,0.625,0.8125
report_only,random_forest,47,0.6,0.6190476190476191,0.5833333333333333,0.6166666666666666,0.6000000000000001,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.8095238095238095
report_only,random_forest,48,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.7142857142857143
report_only,random_forest,49,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.7857142857142857
report_only,random_forest,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
report_only,gradient_boosting,1,0.5,0.3125,0.3333333333333333,0.5333333333333333,0.35714285714285715,0.3125,0.0,0.625,0.3125
report_only,gradient_boosting,2,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
report_only,gradient_boosting,3,0.7777777777777778,0.5,0.4375,0.6805555555555556,0.3888888888888889,0.5,0.0,1.0,0.35714285714285715
report_only,gradient_boosting,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
report_only,gradient_boosting,5,0.7777777777777778,0.5,0.4375,0.6805555555555556,0.3888888888888889,0.5,0.0,1.0,0.2142857142857143
report_only,gradient_boosting,6,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.65625
report_only,gradient_boosting,7,0.6,0.5238095238095238,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.5238095238095238
report_only,gradient_boosting,8,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7142857142857143
report_only,gradient_boosting,9,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.75
report_only,gradient_boosting,10,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.6071428571428571
report_only,gradient_boosting,11,0.9,0.75,0.803921568627451,0.8862745098039216,0.9444444444444444,0.75,0.5,1.0,1.0
report_only,gradient_boosting,12,0.7,0.5952380952380952,0.6000000000000001,0.68,0.625,0.5952380952380952,0.3333333333333333,0.8571428571428571,0.6190476190476191
report_only,gradient_boosting,13,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7142857142857143
report_only,gradient_boosting,14,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.10714285714285718
report_only,gradient_boosting,15,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.3571428571428572
report_only,gradient_boosting,16,0.8,0.875,0.7619047619047619,0.819047619047619,0.75,0.875,1.0,0.75,1.0
